claim_id,date_of_submission,date_of_decision,date_of_payout,amount_of_payout,suspicion_of_fraud
902109,2010-08-24,2010-09-07,2010-09-11,68818,not suspected of fraud
446973,2015-12-30,2016-01-25,2016-02-04,151729,not suspected of fraud
562040,2015-06-18,2015-07-08,2015-07-20,310034,not suspected of fraud
857801,2012-05-31,2012-07-29,2012-08-06,126016,fraud suspected
358089,2018-12-30,2019-01-06,2019-01-10,293597,not suspected of fraud
830659,2016-07-01,2016-07-11,2016-07-19,82651,not suspected of fraud
452957,2017-12-18,2018-01-02,2018-01-04,33845,not suspected of fraud
769171,2010-11-14,2010-11-26,2010-12-09,249152,fraud suspected
225849,2011-02-20,2011-04-19,2011-04-30,27128,not suspected of fraud
418948,2012-09-04,2012-09-30,2012-10-10,189725,not suspected of fraud
727517,2014-03-31,2014-05-21,2014-06-04,278085,fraud suspected
914616,2021-07-01,2021-08-05,2021-08-10,118238,not suspected of fraud
103088,2019-04-07,2019-04-11,2019-04-25,109519,not suspected of fraud
376881,2019-07-04,2019-08-12,2019-08-25,171385,not suspected of fraud
779592,2020-08-28,2020-09-24,2020-10-04,83013,not suspected of fraud
640942,2013-12-24,2014-02-13,2014-02-23,191774,not suspected of fraud
132673,2013-07-30,2013-09-05,2013-09-11,117064,fraud suspected
675240,2015-08-18,2015-10-11,2015-10-23,244230,not suspected of fraud
185761,2016-09-18,2016-10-20,2016-10-28,201764,not suspected of fraud
548630,2015-08-30,2015-09-19,2015-09-28,60913,not suspected of fraud
324439,2016-07-07,2016-07-20,2016-07-24,17603,not suspected of fraud
409277,2020-01-26,2020-01-27,2020-02-01,144256,not suspected of fraud
999225,2017-08-25,2017-09-26,2017-10-07,311224,not suspected of fraud
999835,2021-05-27,2021-06-08,2021-06-22,98675,not suspected of fraud
934126,2012-01-19,2012-01-26,2012-02-09,150842,not suspected of fraud
721053,2019-05-14,2019-05-21,2019-05-28,42631,fraud suspected
185339,2015-12-16,2015-12-17,2015-12-30,98199,not suspected of fraud
948303,2021-01-03,2021-02-19,2021-02-27,56461,not suspected of fraud
157383,2020-02-20,2020-03-17,2020-03-25,296498,fraud suspected
515696,2016-09-11,2016-10-31,2016-11-10,148925,not suspected of fraud
471228,2011-12-09,2012-01-16,2012-01-28,136886,not suspected of fraud
379506,2012-08-06,2012-09-28,2012-10-08,34720,not suspected of fraud
258753,2013-05-15,2013-06-06,2013-06-15,64232,not suspected of fraud
100725,2020-01-20,2020-03-11,2020-03-22,167438,not suspected of fraud
188475,2017-09-11,2017-10-13,2017-10-24,160391,not suspected of fraud
849100,2011-08-04,2011-09-25,2011-10-05,61262,not suspected of fraud
949438,2012-05-10,2012-07-03,2012-07-15,170408,fraud suspected
942425,2017-01-28,2017-03-21,2017-04-01,34494,not suspected of fraud
993132,2011-10-10,2011-11-16,2011-11-23,157157,not suspected of fraud
784834,2013-05-21,2013-06-07,2013-06-13,379882,not suspected of fraud
510646,2014-07-18,2014-07-22,2014-07-29,15108,not suspected of fraud
908149,2010-07-28,2010-07-31,2010-08-08,121671,not suspected of fraud
583666,2019-08-18,2019-09-25,2019-10-06,187039,not suspected of fraud
859301,2017-01-30,2017-02-03,2017-02-16,357668,not suspected of fraud
955148,2014-03-28,2014-03-29,2014-04-01,260566,not suspected of fraud
200947,2016-08-08,2016-09-20,2016-10-03,351346,not suspected of fraud
606419,2014-03-01,2014-04-18,2014-04-25,108209,not suspected of fraud
346043,2014-10-17,2014-12-03,2014-12-07,126491,not suspected of fraud
880939,2019-09-14,2019-10-17,2019-10-18,101334,not suspected of fraud
313555,2016-06-08,2016-06-17,2016-06-18,300318,not suspected of fraud
212778,2013-09-02,2013-10-20,2013-11-02,70681,not suspected of fraud
925428,2012-01-17,2012-02-01,2012-02-13,59017,not suspected of fraud
720798,2020-03-18,2020-05-07,2020-05-17,109762,not suspected of fraud
220441,2015-06-21,2015-06-29,2015-07-06,393780,not suspected of fraud
102833,2017-06-07,2017-07-07,2017-07-16,224370,not suspected of fraud
767330,2019-04-14,2019-04-22,2019-05-04,141713,not suspected of fraud
431049,2013-02-17,2013-04-05,2013-04-15,38661,not suspected of fraud
238483,2010-03-11,2010-03-27,2010-04-10,124501,not suspected of fraud
130237,2010-10-07,2010-11-12,2010-11-20,206296,not suspected of fraud
339226,2011-05-03,2011-06-14,2011-06-16,24138,not suspected of fraud
156033,2011-02-14,2011-02-23,2011-03-06,124661,not suspected of fraud
920488,2016-09-26,2016-09-28,2016-10-10,156817,not suspected of fraud
261416,2017-12-21,2018-01-19,2018-01-25,133297,not suspected of fraud
920301,2019-02-12,2019-03-26,2019-03-29,217497,not suspected of fraud
163956,2021-02-13,2021-04-07,2021-04-17,303186,not suspected of fraud
369762,2016-07-30,2016-09-20,2016-09-23,72247,not suspected of fraud
731480,2021-01-19,2021-02-27,2021-03-05,88110,not suspected of fraud
933038,2013-12-09,2014-01-18,2014-02-01,484235,not suspected of fraud
405418,2014-12-02,2015-01-08,2015-01-10,386486,not suspected of fraud
367737,2019-11-27,2019-12-16,2019-12-24,186571,not suspected of fraud
835976,2013-11-21,2013-12-14,2013-12-27,43571,not suspected of fraud
274042,2018-04-24,2018-05-30,2018-06-11,43367,not suspected of fraud
459927,2020-02-16,2020-03-03,2020-03-11,73602,fraud suspected
591847,2016-01-10,2016-02-03,2016-02-16,377054,fraud suspected
283352,2013-09-13,2013-09-16,2013-09-29,74436,not suspected of fraud
587770,2013-07-22,2013-09-19,2013-09-29,107466,not suspected of fraud
584313,2021-03-21,2021-04-30,2021-05-06,70359,not suspected of fraud
900259,2021-10-04,2021-11-02,2021-11-11,147522,fraud suspected
802678,2016-11-17,2016-12-03,2016-12-10,221867,fraud suspected
279807,2010-03-23,2010-04-27,2010-04-30,109619,not suspected of fraud
790605,2021-04-22,2021-05-21,2021-05-22,193205,not suspected of fraud
372621,2012-11-29,2012-12-09,2012-12-13,353409,not suspected of fraud
385068,2019-08-29,2019-10-24,2019-10-28,38935,not suspected of fraud
578486,2013-06-14,2013-07-23,2013-08-02,86123,not suspected of fraud
772214,2018-05-28,2018-05-29,2018-06-08,58617,not suspected of fraud
670373,2010-05-14,2010-06-06,2010-06-13,129137,not suspected of fraud
133508,2020-12-12,2020-12-30,2021-01-01,228634,not suspected of fraud
329162,2018-10-14,2018-10-15,2018-10-25,110347,fraud suspected
951747,2018-05-25,2018-07-16,2018-07-17,131305,not suspected of fraud
342853,2020-03-02,2020-04-11,2020-04-12,287537,not suspected of fraud
450997,2019-10-15,2019-11-27,2019-11-29,409499,not suspected of fraud
794013,2014-09-02,2014-10-26,2014-11-06,46676,not suspected of fraud
402582,2014-07-15,2014-08-23,2014-09-02,106746,not suspected of fraud
692071,2016-05-31,2016-06-13,2016-06-22,169721,not suspected of fraud
729844,2017-04-27,2017-06-04,2017-06-08,48587,not suspected of fraud
262182,2019-05-20,2019-05-28,2019-06-04,100650,not suspected of fraud
823051,2017-03-11,2017-05-05,2017-05-19,48264,fraud suspected
342524,2019-11-03,2019-12-19,2019-12-29,76976,not suspected of fraud
316702,2020-06-16,2020-07-01,2020-07-15,20700,not suspected of fraud
691634,2019-10-02,2019-11-17,2019-11-18,135932,not suspected of fraud
533117,2017-08-19,2017-08-29,2017-09-08,16302,not suspected of fraud
314714,2019-02-28,2019-03-28,2019-04-07,371015,not suspected of fraud
436389,2017-06-05,2017-08-02,2017-08-03,21868,not suspected of fraud
760293,2018-11-14,2018-12-17,2018-12-19,283424,not suspected of fraud
233945,2021-01-06,2021-02-06,2021-02-10,43944,not suspected of fraud
528008,2021-04-06,2021-05-12,2021-05-22,469391,fraud suspected
232411,2011-10-03,2011-11-24,2011-12-05,56183,not suspected of fraud
156145,2014-11-08,2014-11-27,2014-12-04,24057,not suspected of fraud
724548,2016-08-09,2016-09-13,2016-09-20,101516,not suspected of fraud
399188,2014-04-29,2014-05-26,2014-06-07,182441,not suspected of fraud
545471,2016-09-12,2016-11-11,2016-11-19,203932,not suspected of fraud
313805,2011-04-16,2011-06-13,2011-06-21,346846,not suspected of fraud
114466,2015-04-15,2015-06-04,2015-06-15,233074,fraud suspected
937534,2012-07-21,2012-08-18,2012-08-29,191871,not suspected of fraud
233719,2012-08-25,2012-10-07,2012-10-11,207076,fraud suspected
106760,2019-05-12,2019-05-18,2019-06-01,72947,not suspected of fraud
349180,2013-09-11,2013-10-01,2013-10-05,162089,not suspected of fraud
324473,2018-06-21,2018-08-16,2018-08-24,358756,not suspected of fraud
732421,2020-03-17,2020-04-01,2020-04-15,270551,not suspected of fraud
209335,2020-10-09,2020-11-07,2020-11-13,90810,not suspected of fraud
930512,2015-04-21,2015-06-20,2015-06-25,140669,fraud suspected
771623,2012-10-06,2012-10-10,2012-10-13,139633,not suspected of fraud
336365,2015-01-07,2015-03-06,2015-03-12,87851,not suspected of fraud
169430,2019-01-10,2019-02-17,2019-02-19,67989,not suspected of fraud
375037,2020-05-31,2020-07-30,2020-08-11,72448,fraud suspected
192240,2020-10-09,2020-10-11,2020-10-15,40685,not suspected of fraud
465924,2018-01-27,2018-01-30,2018-02-01,29605,not suspected of fraud
441315,2018-12-16,2019-01-13,2019-01-14,156848,fraud suspected
666190,2019-07-15,2019-08-22,2019-08-25,309457,not suspected of fraud
312558,2019-02-07,2019-03-21,2019-03-23,121037,not suspected of fraud
680135,2014-09-25,2014-11-12,2014-11-16,165868,not suspected of fraud
823487,2012-12-16,2013-01-23,2013-01-27,75825,fraud suspected
728758,2012-06-05,2012-06-09,2012-06-10,78862,fraud suspected
456609,2013-11-25,2014-01-01,2014-01-06,61584,not suspected of fraud
433154,2019-12-14,2020-01-07,2020-01-20,382385,not suspected of fraud
292090,2019-11-03,2019-12-22,2019-12-26,180782,not suspected of fraud
166582,2012-03-18,2012-05-17,2012-05-23,83323,not suspected of fraud
223215,2014-10-07,2014-12-02,2014-12-08,194623,not suspected of fraud
210731,2018-05-18,2018-07-14,2018-07-22,40164,not suspected of fraud
142840,2020-07-26,2020-09-09,2020-09-12,119187,not suspected of fraud
404133,2013-06-30,2013-08-10,2013-08-20,218500,not suspected of fraud
139132,2011-09-06,2011-09-12,2011-09-14,13476,not suspected of fraud
696007,2015-12-28,2016-01-17,2016-01-20,183675,not suspected of fraud
651703,2018-05-16,2018-05-21,2018-05-26,199243,not suspected of fraud
927894,2014-07-28,2014-09-17,2014-09-28,222867,not suspected of fraud
514469,2016-04-10,2016-05-26,2016-05-27,34778,not suspected of fraud
500662,2015-07-22,2015-08-01,2015-08-15,66977,not suspected of fraud
419919,2011-03-11,2011-04-28,2011-05-01,152325,not suspected of fraud
870530,2016-08-12,2016-09-27,2016-10-07,119670,not suspected of fraud
956822,2012-04-15,2012-06-08,2012-06-21,14759,not suspected of fraud
891053,2017-05-27,2017-07-11,2017-07-15,276103,not suspected of fraud
475740,2019-07-19,2019-08-05,2019-08-08,98355,not suspected of fraud
370203,2016-11-03,2016-12-23,2017-01-04,20841,not suspected of fraud
702682,2020-02-17,2020-03-29,2020-04-10,128312,not suspected of fraud
662252,2015-05-13,2015-05-28,2015-06-05,261593,not suspected of fraud
422964,2013-01-09,2013-02-28,2013-03-07,282079,not suspected of fraud
527999,2012-08-22,2012-09-20,2012-09-25,31419,not suspected of fraud
974872,2020-05-21,2020-07-12,2020-07-17,341917,not suspected of fraud
307531,2015-10-18,2015-11-04,2015-11-13,242234,fraud suspected
867182,2020-03-02,2020-04-08,2020-04-12,45886,not suspected of fraud
980779,2020-07-12,2020-08-11,2020-08-21,184085,not suspected of fraud
319935,2019-06-02,2019-07-18,2019-07-31,121830,not suspected of fraud
485774,2018-09-21,2018-10-06,2018-10-20,183879,not suspected of fraud
831733,2018-09-12,2018-09-16,2018-09-18,151449,not suspected of fraud
107655,2018-06-09,2018-07-31,2018-08-07,19719,not suspected of fraud
519523,2020-06-19,2020-06-23,2020-06-28,96813,not suspected of fraud
123320,2018-09-15,2018-10-15,2018-10-29,59807,not suspected of fraud
571546,2016-11-05,2016-12-09,2016-12-12,63725,not suspected of fraud
162904,2014-12-16,2015-02-03,2015-02-17,122979,not suspected of fraud
581416,2019-02-08,2019-03-27,2019-04-08,21739,fraud suspected
516373,2018-10-27,2018-12-12,2018-12-15,174554,not suspected of fraud
438231,2015-08-10,2015-09-25,2015-10-05,257777,fraud suspected
544306,2014-05-26,2014-05-29,2014-06-02,31651,not suspected of fraud
301984,2019-04-07,2019-06-02,2019-06-15,17503,not suspected of fraud
109466,2013-01-21,2013-02-11,2013-02-14,197528,not suspected of fraud
797235,2012-04-09,2012-05-02,2012-05-06,37854,not suspected of fraud
354670,2011-05-05,2011-06-29,2011-07-04,90835,fraud suspected
986520,2013-05-10,2013-07-02,2013-07-11,144889,not suspected of fraud
691409,2012-06-04,2012-06-12,2012-06-23,253007,fraud suspected
449390,2011-06-13,2011-07-17,2011-07-20,38808,not suspected of fraud
154447,2014-05-30,2014-06-01,2014-06-11,267893,not suspected of fraud
332804,2018-11-18,2018-12-02,2018-12-11,109172,not suspected of fraud
102841,2013-04-10,2013-05-27,2013-06-05,136605,not suspected of fraud
888112,2015-05-25,2015-06-02,2015-06-13,114391,fraud suspected
365216,2019-03-11,2019-03-15,2019-03-25,6456,not suspected of fraud
553887,2012-11-07,2012-11-30,2012-12-09,316289,not suspected of fraud
818026,2015-04-02,2015-04-15,2015-04-26,105735,not suspected of fraud
982796,2020-01-09,2020-02-10,2020-02-16,114417,not suspected of fraud
575213,2013-12-06,2013-12-14,2013-12-24,263254,not suspected of fraud
223903,2018-03-20,2018-05-19,2018-05-29,100028,not suspected of fraud
706366,2015-02-21,2015-04-13,2015-04-14,69705,not suspected of fraud
595186,2020-02-03,2020-02-19,2020-03-01,8557,not suspected of fraud
409635,2019-03-18,2019-05-15,2019-05-29,248220,not suspected of fraud
823438,2013-11-12,2013-11-19,2013-11-24,31059,not suspected of fraud
266247,2016-06-20,2016-07-14,2016-07-16,74650,fraud suspected
661100,2014-02-19,2014-03-12,2014-03-21,113356,not suspected of fraud
908966,2014-01-12,2014-02-08,2014-02-09,198241,not suspected of fraud
734043,2014-07-03,2014-08-03,2014-08-13,142878,not suspected of fraud
258079,2019-08-25,2019-09-26,2019-10-06,85388,not suspected of fraud
233073,2019-08-04,2019-08-23,2019-09-01,66611,not suspected of fraud
878959,2019-12-17,2020-01-05,2020-01-15,352221,not suspected of fraud
903494,2010-12-31,2011-02-28,2011-03-01,32467,not suspected of fraud
180505,2020-10-27,2020-12-05,2020-12-14,59252,not suspected of fraud
227665,2017-04-22,2017-05-16,2017-05-30,317354,not suspected of fraud
201633,2018-08-03,2018-09-12,2018-09-25,298314,not suspected of fraud
412299,2015-03-30,2015-04-23,2015-05-06,81481,not suspected of fraud
374032,2020-04-10,2020-06-03,2020-06-08,72818,not suspected of fraud
168743,2019-12-09,2020-01-02,2020-01-14,85650,not suspected of fraud
535819,2018-03-31,2018-05-09,2018-05-21,384912,not suspected of fraud
620060,2013-07-11,2013-08-26,2013-09-06,78462,not suspected of fraud
889393,2019-09-30,2019-11-15,2019-11-23,117511,not suspected of fraud
785076,2015-02-08,2015-02-10,2015-02-24,37528,not suspected of fraud
822797,2010-12-23,2011-01-22,2011-01-23,129067,not suspected of fraud
910120,2019-12-19,2020-01-03,2020-01-04,47334,not suspected of fraud
369921,2014-10-27,2014-12-18,2014-12-26,67347,not suspected of fraud
123031,2014-12-11,2014-12-24,2015-01-02,82284,not suspected of fraud
802421,2013-12-30,2014-01-30,2014-02-07,154872,not suspected of fraud
989557,2016-05-03,2016-06-05,2016-06-07,59376,not suspected of fraud
439835,2016-06-01,2016-07-27,2016-07-29,199657,not suspected of fraud
282366,2018-04-04,2018-05-14,2018-05-28,295550,not suspected of fraud
771649,2021-06-23,2021-08-13,2021-08-15,118010,not suspected of fraud
813476,2020-10-03,2020-10-05,2020-10-14,89418,not suspected of fraud
767248,2013-02-16,2013-04-13,2013-04-17,291720,not suspected of fraud
323202,2013-09-30,2013-10-16,2013-10-26,162711,not suspected of fraud
233785,2012-04-14,2012-06-08,2012-06-13,125131,not suspected of fraud
565152,2018-12-09,2018-12-31,2019-01-08,130215,not suspected of fraud
325041,2018-05-05,2018-05-21,2018-05-25,132342,not suspected of fraud
102587,2016-08-31,2016-09-12,2016-09-19,149315,not suspected of fraud
269480,2019-06-11,2019-08-10,2019-08-24,143101,not suspected of fraud
224370,2015-08-27,2015-10-05,2015-10-06,296554,not suspected of fraud
471233,2016-01-01,2016-02-15,2016-02-26,269699,not suspected of fraud
242077,2014-12-11,2014-12-18,2014-12-20,159270,not suspected of fraud
935697,2014-04-19,2014-04-22,2014-04-29,121273,not suspected of fraud
141458,2016-10-08,2016-11-24,2016-12-03,128214,not suspected of fraud
511919,2018-03-18,2018-05-09,2018-05-17,158949,not suspected of fraud
319967,2018-09-03,2018-09-13,2018-09-14,23047,not suspected of fraud
360622,2017-09-06,2017-09-21,2017-09-30,291528,fraud suspected
919224,2013-06-17,2013-07-27,2013-08-08,81372,not suspected of fraud
673695,2013-11-09,2013-12-17,2013-12-19,120216,fraud suspected
407361,2018-06-30,2018-07-20,2018-08-02,377916,not suspected of fraud
979461,2016-07-11,2016-07-12,2016-07-24,196513,not suspected of fraud
818055,2013-06-02,2013-07-05,2013-07-17,354340,not suspected of fraud
154234,2013-12-25,2014-02-15,2014-02-17,177421,fraud suspected
230311,2013-04-29,2013-06-26,2013-06-28,137500,fraud suspected
695947,2016-09-01,2016-10-03,2016-10-15,124613,not suspected of fraud
828674,2011-09-05,2011-11-04,2011-11-09,101540,not suspected of fraud
141602,2014-11-27,2014-12-18,2014-12-27,174240,not suspected of fraud
504374,2017-09-25,2017-11-20,2017-12-03,332917,not suspected of fraud
506083,2019-08-09,2019-09-11,2019-09-15,24849,not suspected of fraud
146979,2019-01-27,2019-03-06,2019-03-16,23465,not suspected of fraud
493487,2015-03-02,2015-03-17,2015-03-28,40163,not suspected of fraud
179109,2015-12-04,2016-01-11,2016-01-13,233883,not suspected of fraud
625452,2017-12-09,2017-12-13,2017-12-20,401908,not suspected of fraud
390448,2011-03-14,2011-04-14,2011-04-21,56714,not suspected of fraud
670305,2016-05-07,2016-06-02,2016-06-10,173609,not suspected of fraud
141689,2018-01-10,2018-03-10,2018-03-21,100536,not suspected of fraud
276207,2020-05-28,2020-06-12,2020-06-15,293475,not suspected of fraud
360375,2011-09-07,2011-09-29,2011-10-08,186641,fraud suspected
156746,2018-04-02,2018-04-29,2018-05-08,243241,not suspected of fraud
776269,2014-12-04,2014-12-29,2015-01-10,35925,not suspected of fraud
172140,2017-12-15,2018-01-14,2018-01-21,47498,not suspected of fraud
397361,2012-01-18,2012-02-24,2012-02-25,97272,fraud suspected
431198,2018-10-18,2018-11-19,2018-11-28,167037,not suspected of fraud
551232,2013-09-18,2013-09-25,2013-10-07,178532,not suspected of fraud
406233,2021-01-16,2021-02-03,2021-02-10,31968,not suspected of fraud
270730,2015-09-26,2015-10-07,2015-10-13,68480,not suspected of fraud
